Page ID,Page Name,Disclaimer,Amount Spent (USD),Number of Ads in Library
100252351542253,"Macie P. Smith, EdD - Candidate SC State Univ. Board of Trustees",Dr. Macie P. Smith,≤100,4
152720876933,Network of enlightened Women (NeW),These ads ran without a disclaimer,≤100,1
289985388559,Georgia Equality,Georgia Equality,≤100,2
428973820503629,SD Bullion,These ads ran without a disclaimer,≤100,1
100732131466354,Women's Rights - Evansville,Shae Kristi Kokomoor,≤100,3
418761721542932,PIPES International,Stuart I Harrier,≤100,5
163154887666408,Steve's Metal Works,These ads ran without a disclaimer,≤100,1
1869874509759535,Representative Jesse Vanderwende,"Delaware State House of Representatives, Republican Caucus",≤100,2
93151506051,ERA Real Estate,These ads ran without a disclaimer,≤100,1
102280984622641,Tony O'Neill for Mayor of Peshtigo 2020,Anthony John O Neill,≤100,4
201847089929522,Wisconsin Voices,Wisconsin Voices,≤100,21
81498431082,Friends of the Mississippi River,FRIENDS OF THE MISSISSIPPI RIVER INC,≤100,4
708246689518193,Luap McKeever for Eastern Commissioner,The Luap McKeever Campaign,≤100,3
231740756837964,The Embracing Project,These ads ran without a disclaimer,≤100,1
1606710959557216,Slugnuts,Kyle Douglas Reynolds,≤100,2
343040759816788,Matt_boutros,Matthew Boutros,≤100,1
121663737990302,Mayor Jason Pu,Mayor Jason Pu,≤100,4
7843752732,The Glitch Mob,These ads ran without a disclaimer,≤100,1
109772857229381,Daren ‘Bear’ Osborn for Towns County Sheriff,Daren Bear Osborn for Sheriff,≤100,3
816618701841954,Stormwater Partners of SW Washington,These ads ran without a disclaimer,≤100,1
103898567786075,New Century Sustainability,New Century Sustainability,≤100,2
1193226777503877,Clean This Beach Up,Maria Jose Algarra,≤100,3
77347628449,Words Maplewood's Bookstore,Jonah D Zimiles,≤100,1
1561365714120557,Garwood Republican Party,Garwood Republican Club,≤100,4
12484588900,Planned Parenthood Advocates of Indiana and Kentucky,Planned Parenthood Advocates of Indiana and Kentucky,≤100,3
548145878866772,From the Heart Crafts And More,John Bradley Whipple,≤100,2
910766418951574,Studio M Salon And Boutique,These ads ran without a disclaimer,≤100,1
74458149794,Center for a New Economy,Center for a New Economy,≤100,5
103313141063508,The Welcome Party,These ads ran without a disclaimer,≤100,1
679809018806272,O‘ahu County Democratic Party,O'ahu County Democratic Party,≤100,8
118255521596677,Superior Business Solutions,"SUPERIOR BUSINESS FORMS, INC.",≤100,9
102360924699137,Shaun Toohey GOP State Committee,Red Massachusetts Grassroots Action,≤100,2
2022727557962023,A call to all citizens,Steven Mark Silberman,≤100,1
461817060598138,Michael Hafftka,Michael D Hafftka,≤100,3
401334146878965,Sikh Women's Organization of Central California,Rajvinder Kaur Sodhilayne,≤100,2
125184364992285,Tyrel Clark for Senate,Tyrel Clark for Senate,≤100,3
2083921815231679,AD51 People's Action,These ads ran without a disclaimer,≤100,2
249240118840482,Microcosms,Andrew Joseph Tschiltsch,≤100,3
110541347164203,Adams for VA 5th District Chair,Melvin Leroy Adams Sr,≤100,3
210206069922545,Craft for Commissioner,Danielle R Craft,≤100,1
103304127704267,Doyle for Circuit Judge,Doyle for Circuit Judge,≤100,3
253730424707170,"Mystical Rose Ob/Gyn - Theresa Stigen, MD",Shilo Gene Stigen,≤100,3
100437734826584,Sayers For Congress,SAYERS FOR CONGRESS,≤100,9
825475597557324,trueself,These ads ran without a disclaimer,≤100,1
750799311951440,Pawsitively 4 Pink,Michelle Power,≤100,4
2111696715715563,East Brunswick Republican Municipal Committee,East Brunswick Republican Municipal Committee,≤100,3
672536823175629,Keep Napa Green,Napa County Citizens for Responsible Green Cannabis Regulation,≤100,3
107576280812962,"Keep Glen Praytor, Parker County Constable Pct 3",Sharon Louise Grissom,≤100,5
100900704756231,Adams for Commissioner,Elliot Lamar Adams,≤100,2
342911523671,"City of Wilmington, NC Government","City of Wilmington, NC",≤100,7
2039515353004485,Progress NEO,Progress NEO,≤100,4
146578545810910,Sterling Etail,Andrew C Sterling,≤100,1
111699863646410,Marty Sullivan for Winter Park Commission Seat 1,Laurie Boone Wack,≤100,5
1033248857066144,NewsDaylighter,General Memetics LLC,≤100,8
423222874895306,Sing over America,These ads ran without a disclaimer,≤100,1
424996964219522,Libertarian Party of California,Libertarian Party of California-Unrestricted Account,≤100,2
100783241291133,Valerie Starkey for Supervisor-District 2,Valerie Ann Starkey,≤100,4
100899794800492,Specialty socks and accessories,Julie L Herbst,≤100,11
103626739676036,Young Kia,These ads ran without a disclaimer,≤100,2
137569740231452,Respect The Look,These ads ran without a disclaimer,≤100,3
103733440984818,ReNew Mexico,These ads ran without a disclaimer,≤100,1
110963720399311,Tucker For President,Benjamin Jeffrey Lacross,≤100,2
163536755961,Yonkers Arts,Adam George Shultz,≤100,1
106172714114950,Champer for Commissioner,Darrell Eugene Champer,≤100,2
102506767779954,Raphael Mariani for NY State Assembly 2020,Raphael Marcondes Ferraz Mariani,≤100,4
535921499865428,In God's Service Store,Randy Wayne Elliott,≤100,4
535841063112141,Milwaukee City Birthday Party,These ads ran without a disclaimer,≤100,1
100245524775,The Connecticut Forum,Ruth Frances Cullen,≤100,2
914741188600735,עומדים ביחד نقف معًا,These ads ran without a disclaimer,≤100,1
1454334831254747,"Montgomery County, TN- Democratic Party",Margaret Beth Tanner,≤100,2
340655010136589,Bronwyn Haltom for State Representative,Friends of Bronwyn Haltom,≤100,2
109640363747326,Vermont Daily Chronicle,Guy M Page,≤100,4
1807684732780043,Proud to be a Nasty Woman,Minerva LLC,≤100,9
103007931275236,Katrina Dunn for Placer County Democratic Central Committee,Katrina Pete Dunn,≤100,2
2099821496911518,Liyah Babayan The People First,Liyah Babayan,≤100,6
111065163710646,Alex Villalobos for Hays County Sheriff 2020,Alexander Villalobos,≤100,6
2265630773483024,The Next 50,These ads ran without a disclaimer,≤100,4
106219220837921,LMAOwear.com,Robert Edward Smith,≤100,2
101836924608350,Grant For SC,Committee to Elect Hamilton Grant,≤100,2
378410469176319,"Gianna Willard Flanery- Artist, Activist, Advocate, Adventurer",Gianna Rose Willard Flanery,≤100,4
320487991392267,Yellow River Calls,Justin Matthew Rosso,≤100,1
605334679579021,San Diego County Democrats for Environmental Action,Jonathan Cody Petterson,≤100,2
849223445453807,Freaknik Festival,These ads ran without a disclaimer,≤100,1
254310311286078,Pennsylvania Leadership Conference,Pennsylvania Leadership Conference,≤100,3
273721203531595,Michael Coudrey,YukoSocial LLC,≤100,12
127184627293488,Riverview Center,These ads ran without a disclaimer,≤100,5
141673339595668,Clark County Today,These ads ran without a disclaimer,≤100,2
1883003128429295,Queer Majority,These ads ran without a disclaimer,≤100,2
106804967583587,Mont Handley for Congress,MONT HANDLEY FOR CONGRESS,≤100,2
522791141169896,St. Louis County Depot,These ads ran without a disclaimer,≤100,1
100272374850052,Erica Kasraie,These ads ran without a disclaimer,≤100,1
100943514780620,RHEA Coaching & Consulting,These ads ran without a disclaimer,≤100,2
807413476285845,Prism,These ads ran without a disclaimer,≤100,1
1577105462352750,Oklahoma City University Executive & Professional Education Center,Meinders School of Business Executive & Professional Education Center,≤100,1
100913848058229,Dave Marino Libertarian for Texas Senate,David Waynes K Arino,≤100,5
107581637410418,Evan Gendreau for State Representative,Gendreau Committee,≤100,3
153309775026,SnapStream,These ads ran without a disclaimer,≤100,4
2481810641835295,Reuse Revolution 614,These ads ran without a disclaimer,≤100,1
293037128111446,"Our Voices Together, Florida",These ads ran without a disclaimer,≤100,1
126361028764081,ABNER for Sallisaw Police CHIEF,Kristal Anne Abner,≤100,1
1580610722244969,Courting Des Moines,These ads ran without a disclaimer,≤100,3
876496122734867,Marcia O'Brien Conway for Cook County Circuit Court Judge,Citizens for Marcia O'Brien Conway,≤100,1
117401524973663,Chamomile Tea Party,Chamomile Tea Party,≤100,7
1707785832769621,Latinos For Education,These ads ran without a disclaimer,≤100,5
105638420825,California College Republicans,Dylan James Martin,≤100,1
1516640345251151,Whiskey Jax Kitchen & Cocktails - Baymeadows,These ads ran without a disclaimer,≤100,1
102027431326534,Doug Garrison for FCDP Central Committee - Westerville Ward 1,Douglas Herthum Garrison,≤100,7
141105556563735,Passadin.com,These ads ran without a disclaimer,≤100,1
175834129130715,Steve Terrell for Collin County Commissioner Precinct 3,Brooke Noel Mcmillan,≤100,4
103740867706792,Senior Savings Alliance,These ads ran without a disclaimer,≤100,1
109422917297632,Shopmagaofficial,Shopmagaofficial.com,≤100,10
1445225482380833,Georgia Shift,Georgia Shift,≤100,2
114814983395797,Jonathon Jones for School Board District 1,Jonathon Jones,≤100,4
104675730964100,Top Guy Tees,Top Guy Tees,≤100,5
137915703470,Maine Equal Justice,Maine Equal Justice,≤100,2
103286879730089,Congressman Dan Lipinski,Office of Congressman Dan Lipinski,≤100,1
106524382831669,Light Up Downtown,These ads ran without a disclaimer,≤100,4
101619301204110,Gretchen D. Barron,Team Barron,≤100,2
103821484514922,Bells of Liberty,Seen Yung Christy Wong,≤100,4
2406284459692230,Bees4Seas Natural Beeswax Food Wrap,These ads ran without a disclaimer,≤100,1
103203421117224,Diamond Crest Capital LLC,These ads ran without a disclaimer,≤100,2
107680010778630,Indiana Land & Liberty Coalition,Land & Liberty Coalition,≤100,4
193477921051,Oregon Family Council,John Jeffrey Lang,≤100,3
1596028430529558,"America, Guns, and Freedom",Miguel A Faria,≤100,1
447084015458281,Daniele Monroe Moreno,Joseph Abraham,≤100,2
247544768631124,My Way Ford,Austin Travis Bruck,≤100,1
1000282923390749,Cedric for Hawai'i 2020,Cedric S Gates,≤100,2
290474374697573,Good Life Solutions,Bruce Darby,≤100,2
319729995118591,Senator Carri Hicks,Friends of Carri Hicks,≤100,2
150181591837186,Ted Terry,Ted for Dekalb,≤100,9
1266988063340393,California Against Trump,Alexander Raul Biancardi,≤100,5
104724067772970,Committee To Elect Lisa Summers For Judge,Lisa D Summers,≤100,4
708381249343443,Ssussdriad,Nathan  Paul  Odom,≤100,5
109534813767780,Dombrowski for Mayor,Daniel Thomas Dombrowski,≤100,2
105028704366985,What A Sock,These ads ran without a disclaimer,≤100,5
140482606709,DOCUTAH,These ads ran without a disclaimer,≤100,1
419146782003793,Greenfouryou,Craig Lane Johnson,≤100,2
154487604620518,Walmart Tampa - Gunn Hwy,These ads ran without a disclaimer,≤100,1
271229536407992,"Dizmang Properties, Inc.",William Cade Gattenby,≤100,1
128443393880538,Odom Law Firm,These ads ran without a disclaimer,≤100,1
114504449966472,Officer Willie Brooks,Benjamin Ernesto Garcia,≤100,11
1830396070545917,The Texas Monitor,These ads ran without a disclaimer,≤100,1
1094920213861988,Robert Palmer Watkins,These ads ran without a disclaimer,≤100,4
221377168556170,April Northrup for San Mateo County Democratic Central Committee 2020,April Northrup for San Mateo County Democratic Central Committee 2020,≤100,2
125093784624150,Roanoke Ford,These ads ran without a disclaimer,≤100,1
101733711252314,Reelect Jake Futch Bulloch County Coroner 2020,Jake Albert Futch,≤100,2
390476744825347,Commissioner Eileen Higgins,"Miami-Dade County Commissioner Eileen Higgins, District 5",≤100,1
100996551464071,Yes on Measure L,These ads ran without a disclaimer,≤100,2
101485377885590,The Activated People,The Activated People,≤100,3
308687325931408,"Bob Grogan, CPA",Robert T Grogan,≤100,1
1763274547275726,Courtney Masella-O'Brien for Democratic County Central Committee,Courtney Herrity Obrien,≤100,6
407029946001961,Banana Derby,These ads ran without a disclaimer,≤100,3
1983659801955641,Theresa “Tess” Jackson Candidate for WV House of Delegates,Theresa Ann Jackson,≤100,4
306914770501,"Grace House Ministries, Inc.",GRACE HOUSE MINISTRIES,≤100,2
158217944255634,Urban Peace Institute,"CONNIE RICE INSTITUTE FOR URBAN PEACE, THE",≤100,4
159973390747875,Beth Rodden,These ads ran without a disclaimer,≤100,2
314407953121,Chicagoland CPAs,Laura Kate Vinson,≤100,1
1666966633578102,Lynda Rees,These ads ran without a disclaimer,≤100,2
954257601628797,"Paul Alvarado, City of Keller Planning & Zoning Commissioner",Paul Anthony Alvarado,≤100,4
1434501356783772,Jessica Holmes,Committee to Elect Jessica Holmes,≤100,3
527535544101765,IFundWomen,These ads ran without a disclaimer,≤100,1
1232212606817196,Proven,These ads ran without a disclaimer,≤100,1
2167076083353244,"Alex Kithes, Woonsocket City Councilor",Friends of Alex Kithes,≤100,11
157022225145063,Dave Stauffer for President,STAUF ENTERPRISES INC,≤100,2
106665770746177,Yinka Faleti For Missouri,Faleti For Missouri,≤100,6
2020645764861855,The Standard,David Todd Mccarty,≤100,4
222326907785460,A+ College Ready,A+ Education Partnership,≤100,5
109890040555468,Yes on P for Campbellusd,These ads ran without a disclaimer,≤100,3
573367726328714,Amazing Cosmos,Meer Sakhawat Hossain,≤100,5
647962349040142,Pat Garrett for Sheriff,Pat Garrett for Sheriff,≤100,1
109082957328388,Interview Comal County Commissioner Candidate,These ads ran without a disclaimer,≤100,1
265246660989491,"Franklin County Probate Court, Robert G. Montgomery, Judge",Franklin County Probate Judge Montgomery,≤100,4
273721203531595,Michael Coudrey,Michael  Coudrey,≤100,8
684567828592312,Splicer - Video MEME Maker,These ads ran without a disclaimer,≤100,14
1117255008476209,Philip Tibbs for Macon County States Attorney,Philip John Tibbs,≤100,2
103376737705865,Barbara Ramsey For Congress,BARBARA RAMSEY FOR CONGRESS,≤100,5
114500473286670,Dana Barrett for Congress,"DANA BARRETT FOR CONGRESS, INC.",≤100,4
142137972513313,Health Project,These ads ran without a disclaimer,≤100,1
116895628330967,Cottonwood Creek Church,These ads ran without a disclaimer,≤100,20
100133461527082,Whitt for Henderson,Whitt for Henderson,≤100,2
111946517063849,Pets4Watkins,The Committee to Elect David Watkins,≤100,6
1993992277311302,Jewish Southern Utah,These ads ran without a disclaimer,≤100,1
108177687345578,David Robinson for Board of Education,David Michael Robinson,≤100,3
125915297425130,Missouri Department of Agriculture,Missouri Department of Agriculture,≤100,8
103002587776729,Candelaria Law LLC,These ads ran without a disclaimer,≤100,1
993170540697253,"City of Lovington, New Mexico",James Williams,≤100,3
117076713026422,Chris Glasser for County Commissioner,Chris Glasser for County Commissioner,≤100,3
102352021282055,Friends of Sezin Palmer,Friends of Sezin Palmer,≤100,4
51781041470,Cynthia Karalla,Cynthia Karalla,≤100,5
2249932728663365,Jason Shoaf for Florida House District 7,"Jason Shoaf, Republican, for State Representative",≤100,2
112546856933769,Eddie Parker for Coroner,Eddie Coleman Parker,≤100,3
273303846033490,HearthStone | Private Wealth Management,Hearthstone Private Wealth Management,≤100,6
104167490161735,Goose in the Gallows,Goose in the Gallows,≤100,2
161697243842802,Oregon Health & Science University (OHSU),These ads ran without a disclaimer,≤100,2
107804163986675,Hamilton County United,Kendra Leanne Young,≤100,2
1426913564268681,Daniel Sparks,Sparks4Senate,≤100,3
621044655067381,Buy for the Planet,Matthew R Reaves,≤100,2
113706570069421,George Bray For Mayor 2020,Bray for Mayor,≤100,5
830356086979678,CHAT - Chico Housing Action Team,Theresa Marie O'Connor,≤100,3
111615740325530,Anna Kegley for District Court Judge,Anna Kegley for District Court Judge,≤100,3
1667072893581262,Maxton McDowell County Commissioner Victory 2020,Eric Michael Weaver,≤100,2
271972297060025,Primal King,These ads ran without a disclaimer,≤100,1
100561310042809,Reilly Center for Media & Public Affairs,These ads ran without a disclaimer,≤100,3
103717874312242,USTomorrow,These ads ran without a disclaimer,≤100,2
115967083120531,Friends of Cypress Black Bayou,James Heath Harvey,≤100,3
103776417737887,James Carson for Commissioner Pct 1 Liberty County,James Leon Carson,≤100,8
44773494685,Labor Notes,These ads ran without a disclaimer,≤100,1
107163667472070,Karen Ben-Moyal for The People's Congress 2020: Independent for TX CD-14,KAREN BEN-MOYAL,≤100,8
110766950500102,"Cedric Edwards for County Commissioner, Pct 3",The Cedric Edwards Campaign,≤100,4
1375096349210872,Canyon Democrats,Amy Marie Stevens,≤100,3
102507011285791,Jeff Price for County Commissioner,Jeffrey Alan Price,≤100,4
414326131948960,Beyond Limits Running,These ads ran without a disclaimer,≤100,1
113957208628347,Liberty Bell Moving & Storage of Maine,These ads ran without a disclaimer,≤100,2
325485751190750,Mayor Jonathan M. Busch,Jonathan M Busch,≤100,2
100681321360200,MyPlanetful,These ads ran without a disclaimer,≤100,4
106472127365219,Masterwork Arts,These ads ran without a disclaimer,≤100,1
2077528499191868,Oh Hey Heather,Heather Wirtz,≤100,1
46808654791,Eric Steffensen Music,Eric Steffensen,≤100,1
130564031656,AARP-CT,These ads ran without a disclaimer,≤100,1
150896441599979,Utah Physicians for a Healthy Environment,UTAH PHYSICIANS FOR A HEALTHY ENVIRONMENT (UPHE),≤100,1
310803592903935,Grayt,These ads ran without a disclaimer,≤100,1
103609757798939,Master Of Finances,Chaoxuan Xiong,≤100,5
133740559987144,Native American Rights Fund,NATIVE AMERICAN RIGHTS FUND,≤100,6
108775247131558,Rebecca "Becky" King Spindle For NM State Representative,Committee To Elect Rebecca "Becky" King Spindle,≤100,2
103666681209850,Mike Heckmann for State Representative,Friends of Mike Heckmann,≤100,6
104574361031067,Vandalia Butler Citizen Watchdog,These ads ran without a disclaimer,≤100,6
383192935642,The Council for Human Rights,THE COUNCIL FOR HUMAN RIGHTS,≤100,2
110252547177369,Eric Peterson - District 8 Stearns Electric Board of Directors Nominee,Eric Aurin Peterson,≤100,6
530721337047213,Faith Counts,These ads ran without a disclaimer,≤100,1
1182860648409348,Flagstaff Vice Mayor Adam Shimoni,Shimoni for Council,≤100,10
1455938638034121,LifePath Christian Ministries,LifePath Christian Ministries,≤100,5
189043721176961,Capitol Resource Institute,These ads ran without a disclaimer,≤100,2
655808121514524,Hicks/Cormican for Kentucky Governor,Hicks Cormican for Kentucky,≤100,2
132388538302,Oregon Right to Life,These ads ran without a disclaimer,≤100,2
136970426332889,University Lecture Committee,Nicole Renee Nucaro,≤100,4
748714455234146,Berkeley Tenants Union,Berkeley Tenants Union,≤100,2
608732389466592,TranSending,Allison Leigh Smookler,≤100,4
187641227966386,The Nature Conservancy in New York,Nature Conservancy,≤100,1
265835933787265,Meeker McLeod Sibley Community Health Services,Meeker McLeod Sibley Community Health Services,≤100,3
134135219949519,DREF,These ads ran without a disclaimer,≤100,1
202533393627879,Screw the Republicans,Larry Knight,≤100,6
1475681909376091,"Michael Schaefer For Brazos County Commissioner, Precinct 1",Tina Ann Duncan,≤100,4
100240821517553,Lauren Witzke for Delaware,LAUREN WITZKE FOR DELAWARE,≤100,6
371206876370603,Vietnam Never Forget,Proud Digital Media,≤100,3
185235254919810,Doreen Gallegos for NM State Representative District 52,Committee To Elect Doreen Gallegos,≤100,1
1639380939623295,The Jim Price Show,These ads ran without a disclaimer,≤100,1
1725861054373085,Troy Downing,Troy Downing for State Auditor,≤100,3
103766194417857,Mary Lile Broadaway for Circuit Judge,Allison Leighann Hestand,≤100,2
177425919066834,Maureen Chin for the Garvey School Board,Garvey Education Association PAC - FPPC ID# 931958,≤100,1
107529970908,Mobile Baykeeper,MOBILE BAYKEEPER INC,≤100,1
285896596755,Fight the New Drug,These ads ran without a disclaimer,≤100,5
1280400305319674,Tennesseans for Quality Early Education,Tennesseans for Quality Early Education Policy and Research,≤100,2
111168406971417,Esser for Justice,Esser for Justice,≤100,1
494122767644321,Vote Bane,Vote Bane,≤100,13
109174143905491,Blake Michael for Congress,Blake A Michael,≤100,14
215445189343858,"Quednau Quality Hearing, LLC",These ads ran without a disclaimer,≤100,1
255124537865382,Mosqidou Inc. - Music Production & Clothing Company,These ads ran without a disclaimer,≤100,1
106985506377,Pittsburgh Business Times,These ads ran without a disclaimer,≤100,1
180935778610185,NM State Senator John Sapien,Sapien For Senate,≤100,1
457701071664430,Red Wave IN 2020,Blind Vote Media,≤100,6
101984764551026,Hope Town United,These ads ran without a disclaimer,≤100,1
361623737832919,Mom's Guide to Politics,Moms Guide to Politics,≤100,6
237896493045144,Belmont Vice-Mayor Charles Stone,Charles Pearsall Stone,≤100,2
108946154013226,John A. Clark Democat for 337th Criminal Court Judge Harris County,Erica Nicole Everson,≤100,5
432392537589984,Safe Space Property Management,"Safe Space Property Management, Inc",≤100,3
105611387702207,Maestro Mayor Juan Angel Fernandez de Catemaco,These ads ran without a disclaimer,≤100,2
1189683847784130,Suit Up Maine,Suit Up Maine,≤100,3
181763302410757,The Junction Shopping Center,These ads ran without a disclaimer,≤100,2
179225839685038,Diaz for Sheriff,Lauro Diaz for Palm Beach County Sheriff,≤100,1
117513134950283,"Fetpak, Inc",These ads ran without a disclaimer,≤100,1
45393753416,Alliance Defending Freedom,These ads ran without a disclaimer,≤100,8
101257851464419,SB 146,These ads ran without a disclaimer,≤100,2
610375212439941,Republican Women of Brazos Valley PAC,Farrell Gjesdal Strategy Group LLC,≤100,2
423925564877158,Brian Abels - District Court Judge Division D,brianabels4judge,≤100,1
519305544814653,Conservative Tribune by WJ,The Western Journal,≤100,3
100568744701704,Knewz,These ads ran without a disclaimer,≤100,6
939577972856566,Greenwich Entertainment,These ads ran without a disclaimer,≤100,1
171524666565192,Dave Stauffer for Governor,David Stauffer,≤100,2
502563299910657,Juan Paz for Justice of the Peace Precinct 1 Place 1,These ads ran without a disclaimer,≤100,1
104727531080067,Stoffel for State Rep,The Friends of John Stoffel,≤100,5
894199200621898,Dropel Fabrics,These ads ran without a disclaimer,≤100,4
104119594459980,Friends Of Morgan Hill Schools,Lanae Angelica Bays,≤100,7
123613301521418,"Councilman Charles ""Chuck"" Presley, Jr.",Charles Edward Presley Jr,≤100,11
122604011147079,Brad Schneider,SCHNEIDER FOR CONGRESS,≤100,10
110070137140254,Hearts Bio Inc.,Hyung Jun Kim,≤100,6
321133394915264,St Eugene Cathedral Books and Gifts,Mary Katherine Hart,≤100,2
621248964874165,Spotsylvania County Republican Committee,Spotsylvania County Republican Committee,≤100,6
117422581716984,Fresh Approach,FRESH APPROACH,≤100,2
110757293786863,Mississippi Prison Reform Coalition,These ads ran without a disclaimer,≤100,1
1580995778781994,Hunterdon GOP,Hunterdon County Republican Committee,≤100,1
596618944129389,"Ray McNamara, Commissioner, Pocatello Fire District",Jennifer Anne Keys Mc Namara,≤100,8
1021573767978587,Leafico,These ads ran without a disclaimer,≤100,1
899953053457053,Patrick Swanson - Chautauqua County District Attorney,Patrick Earl Swanson,≤100,1
452268584980351,Sami Al-AbdRabbuh,Sami For Oregon PAC,≤100,4
217075100191,"De Caro & Kaplen, LLP",These ads ran without a disclaimer,≤100,1
141908575844758,Guaranty Bank & Trust Company,These ads ran without a disclaimer,≤100,1
104326604470928,Mckean Nowlin for Horry County Board of Education District #4,Mckean Nowlin,≤100,1
1369224169894935,S.O.H2O,Kayla Jo Furton,≤100,2
30789350417,College of Western Idaho,These ads ran without a disclaimer,≤100,1
104339194296642,Social Nostra,Social Nostra,≤100,3
1587011724920420,USS Nimitz CVN-68 Ships Store,These ads ran without a disclaimer,≤100,2
74508663439,Ameinu,These ads ran without a disclaimer,≤100,1
109323500496533,Siegfried for Commissioner,Timothy Reed Siegfried,≤100,1
1775616792757427,The Grand Falloons,Stephen Ringold Ringold,≤100,1
679007762550450,Michael Logue for Trustee,Michael Jerome Logue,≤100,1
294959763988051,Matt Guyette for Congress,Matthew John Guyette,≤100,2
105306067696812,Hector Cantu for Dawson County Sheriff,Hector Santos Cantu,≤100,1
1818353938399905,Rep. Shannon Roers Jones,Shannon Marie Roers Jones,≤100,1
102059447954720,Kristen Browde for NY State Assembly,Kristen for NY 93,≤100,1
1031034460276823,Sangamon Sun,Local Government Information Services,≤100,2
294636104549333,Sunlight on Shadow,These ads ran without a disclaimer,≤100,3
1523574707945923,Alex Barrio for Florida House 43,Alex Barrio for Florida House District 43,≤100,1
84765382005,Mayor Levesque,Jason J Levesque,≤100,1
101887531222440,Karla for IL 88th,Unite 88,≤100,1
1400731176895575,Sang Yi,Sang Yi for City Council,≤100,2
460018991453601,Olmstead For House District 64,Committee To Elect Tom Olmstead,≤100,1
253215903817,FamilyCare Health Centers,FamilyCare Health Centers,≤100,1
106957820699749,North Kent MI News,Metric Media LLC,≤100,1
496257287116637,"Andy Meisner, Oakland County Treasurer's Office",Oakland County Treasurer,≤100,1
1814564685433153,"Bamberg Legal, LLC",These ads ran without a disclaimer,≤100,4
107312370660456,Sperling for Judge,Committee to Elect Angeline Sperling,≤100,1
1053957531330071,Henry County TN  Democrats,Robert Mark Duncan,≤100,1
497926117292150,Baby Trump Tour,James T Girvan,≤100,2
1012140768828824,John Miles for Sheriff,John Miles for Sheriff,≤100,1
100554798070597,Committee to Elect Monique Sheffield,Monique G Sheffield,≤100,3
148869891977856,Raise Up Massachusetts,Raise Up Massachusetts,≤100,1
101000824838210,Vote Stacy Ries Snyder,Stacy Ries Snyder,≤100,1
407661745948472,KIWA,KOREAN IMMIGRANT WORKERS ADVOCATES OF SOUTHERN CALIFORNIA,≤100,7
723460174441818,San Jose Amigos Auto Sales,These ads ran without a disclaimer,≤100,1
108129701627,Kentucky Coalition to Abolish the Death Penalty,Patrick Douglas Delahanty,≤100,2
38234604057,PEN America,These ads ran without a disclaimer,≤100,1
100898321263765,Rhett Ramsey,Rhett Butler Ramsey,≤100,1
230691161029449,FLA News,FLA News Online,≤100,1
912764692168916,Councilmember Luis Chavez,"Councilmember Luis Chavez, City of Fresno",≤100,1
1768460330062937,DFL in Olmsted County,Senate District 26 DFL,≤100,1
109368167255763,Marcus J. Montoya for District Attorney,Montoya for DA,≤100,1
576685546026988,Kyle M. Woodman,Kyle Woodman,≤100,2
1390740324374751,Science Policy Group at UCLA,These ads ran without a disclaimer,≤100,2
673355439727725,Cardwell Auction House,These ads ran without a disclaimer,≤100,1
864744173626267,Capitol Hill Underground,Capitol Hill Underground,≤100,5
1760453024265008,Refuse Fascism Philly,Mark Tinkleman,≤100,1
915307561859091,Franklin for Council At-Large,Friends of Mel Franklin,≤100,1
316417428422840,"Linda Trevor & Co, RE/MAX United",Joshua  Grove,≤100,1
1315890475094287,Mike Prendergast for Sheriff,Robert Winsler,≤100,1
552931498198466,AeroFarms,These ads ran without a disclaimer,≤100,1
266360340082849,Martin County Board of County Commissioners,These ads ran without a disclaimer,≤100,1
131994270195149,North Stamford Association,These ads ran without a disclaimer,≤100,1
238083329566514,Meg4DA,Committee to Elect Meg Heap,≤100,2
110112573732290,Michael Van Winkle For County Supervisor,Micheal Earl Vanwinkle,≤100,2
258393640895410,Florida State MSDC,These ads ran without a disclaimer,≤100,1
184089781604257,Northwest Side Community Development Corporation,NORTHWEST SIDE COMMUNITY DEVELOPMENT CORPORATION,≤100,1
111170026929323,Ryan Huffman for State Representative,Ryan Huffman for State Representative,≤100,1
403972530070764,Robbie Rozelle,These ads ran without a disclaimer,≤100,1
1385244468441206,Senator Natasha von Imhof,Senator Natasha von Imhof,≤100,1
545343702269697,Premier Martial Arts,These ads ran without a disclaimer,≤100,1
234771474100615,Keith Baudin,Keith Anthony Baudin for Louisiana,≤100,1
241547773165531,Washington Gun Rights,Washington Gun Rights,≤100,1
107848227415393,George Turnboo,Mark Timothy Treat,≤100,1
105454634237887,Tom4Congress,Thomas Jay Lewellen,≤100,1
247311960472,United Educators of San Francisco,These ads ran without a disclaimer,≤100,1
113578635341820,Unitarian Universalist Society,Unitarian Universalist Society,≤100,3
301479879918312,Scott Ourth for State Representative,Scott Ourth for State Representative,≤100,1
800237083370318,Lone Star Gun Rights,Derek Reed Wills,≤100,1
182131159093490,Assemblyman Robert Smullen,Friends of Robert Smullen,≤100,3
475252953041112,Left Right Center,LeftRightCenter,≤100,4
316796285920422,Friday Ellis for Mayor,Oliver Friday Ellis,≤100,1
101975914546556,Benjamin Reynolds,The Committee to Elect Benjamin Reynolds,≤100,2
260540537373,American Tortoise Rescue,These ads ran without a disclaimer,≤100,1
266025756840193,Goodwill Industries of the Southern Rivers,Goodwill of Southern Rivers,≤100,2
477945892244372,Matt Pouliot,Pouliot for Senate,≤100,1
